8,2,10
0.0,0.0,0.5,0.88,0.0,0.0,0.1,0.2702,0.175,0.05
0.09,0.0,0.5,0.7,0.003,0.0082,0.004,0.109,0.145,0.35
0.0,0.16,0.2,0.16,0.12,0.032,0.13,0.35,0.17,0.1
0.17,0.01,0.2,0.16,0.5699,0.1203,0.6,0.121,0.14,0.4
0.145,0.55,0.2,0.35,0.07,0.049,0.08,0.056,0.16,0.2
0.14,0.0,0.1,0.12,0.03299,0.0014,0.3399,0.0013,0.018,0.0
0.09,0.9,0.1,0.77,0.02899,0.04093,0.2999,0.0427,0.15,0.25
0.15,0.25,0.1,0.55,0.05299,0.0338,0.5399,0.0336,0.18,0.0
0.18,0.0,0.1,0.55,0.08899,0.00900,0.8999,0.0077,0.175,0.0
0.04,0.75,0.3,0.3,0.0879,0.0272,0.899,0.0275,0.115,0.25
